Name,State,Notes,User,Tags,Created,Runtime,Sweep,avg_val_acc,avg_val_loss,epoch,global_step,lr-Adam,train_loss,val_acc,val_loss,,AVG 5 fold,,AVG of 32k and 16k per fold,,
net32-Fold-5-Cross-Validation-100-Epochs,running,-,mikful,,2020-10-30T16:01:52.000Z,4314,,0.8359375,1.410787582,99,499,1.00E-07,0.184255138,0.81250006,1.683513045,,0.820,,0.82421878,,
net32-Fold-4-Cross-Validation-100-Epochs,finished,-,mikful,,2020-10-30T15:42:26.000Z,1162,,0.7890625,1.413083315,99,499,1.00E-07,0.156027392,0.8125,1.333118796,,,,0.828125,,
net32-Fold-3-Cross-Validation-100-Epochs,finished,-,mikful,,2020-10-30T15:20:11.000Z,1331,,0.8359375,1.094966054,99,499,1.00E-07,0.112197571,0.8125,0.818442523,,,,0.83203125,,0.824218762
net32-Fold-2-Cross-Validation-100-Epochs,finished,-,mikful,,2020-10-30T15:00:30.000Z,1178,,0.81250006,1.373638749,99,499,1.00E-07,0.110462628,0.81250006,1.454305768,,,,0.80468753,,
net32-Fold-1-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T14:40:02.000Z,1225,,0.828125,1.218775034,99,499,1.00E-07,0.122919366,0.9375,0.43425262,,,,0.83203125,,
net16G-Fold-4-Cross-Validation-100-Epochs,crashed,-,mikful,batch size 64,2020-10-30T05:56:33.000Z,327,,0.7421875,1.875764132,23,119,0.0007,0.637111664,0.75,2.067979813,,,,,,
net16G-Fold-3-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T05:34:05.000Z,1345,,0.8125,1.192043543,99,499,7.00E-08,0.238449648,0.75,1.111699104,,,,,,
net16G-Fold-2-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T05:11:11.000Z,1371,,0.7734375,1.574441671,99,499,7.00E-08,0.300385386,0.625,2.301258802,,,,,,
net16G-Fold-1-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T04:48:11.000Z,1377,,0.7890625,1.06050396,99,499,7.00E-08,0.293285698,0.875,0.785426557,,,,,,
net16-Fold-5-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T04:29:01.000Z,1147,,0.81250006,1.339456201,99,499,1.00E-07,0.258062303,0.81250006,1.133797526,,0.828,,,,
net16-Fold-4-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T04:10:30.000Z,1108,,0.8671875,0.987916589,99,499,1.00E-07,0.249557599,0.9375,0.609218419,,,,,,
net16-Fold-3-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T03:52:04.000Z,1102,,0.828125,1.489888191,99,499,1.00E-07,0.283438087,0.8125,1.633893847,,,,,,
net16-Fold-2-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T03:33:46.000Z,1094,,0.796875,1.71037221,99,499,1.00E-07,0.2297391,0.75,1.847923636,,,,,,
net16-Fold-1-Cross-Validation-100-Epochs,finished,-,mikful,batch size 64,2020-10-30T03:14:44.000Z,1139,,0.8359375,1.278402328,99,499,1.00E-07,0.346639693,0.9375,0.665263832,,,,,,
net16-Fold-1-Cross-Validation-100-Epochs-batch-100-2e3,finished,-,mikful,,2020-10-30T01:43:44.000Z,1787,,0.725000024,1.998417258,99,299,3.00E-07,0.435303718,0.725000024,1.998417258,,,,,,
net16-Fold-5-Cross-Validation-100-Epochs,finished,-,mikful,,2020-10-29T21:24:04.000Z,1632,,0.787500024,1.459557772,99,399,2.00E-07,0.682658553,0.787500024,1.459557772,,,,,,
net16-Fold-4-Cross-Validation-100-Epochs,finished,-,mikful,,2020-10-29T20:56:59.000Z,1622,,0.850000024,0.996316254,99,399,2.00E-07,0.3422001,0.850000024,0.996316254,,,,,,
net16-Fold-3-Cross-Validation-100-Epochs,finished,-,mikful,,2020-10-29T20:29:48.000Z,1628,,0.850000024,1.189007521,99,399,2.00E-07,0.553131938,0.850000024,1.189007521,,,,,,
net16-Fold-2-Cross-Validation-100-Epochs,finished,-,mikful,,2020-10-29T20:02:58.000Z,1606,,0.800000012,1.300454855,99,399,2.00E-07,0.644794345,0.800000012,1.300454855,,,,,,
net16-Fold-1-Cross-Validation-100-Epochs-batch-99-2e3,finished,-,mikful,,2020-10-29T19:36:09.000Z,1605,,0.800000012,1.475720644,99,399,2.00E-07,0.636964202,0.800000012,1.475720644,,,,,,
